(E: 0,C: 88) Reloj 48.46789 | Clientes en cola: 1
(E: 0,C: 89) Reloj 12.78878 | Clientes en cola: 1
(E: 0,C: 89) Reloj 13.07269 | Clientes en cola: 2
(E: 0,C: 90) Reloj 3.63282 | Clientes en cola: 1
(E: 0,C: 90) Reloj 3.82224 | Clientes en cola: 2
(E: 0,C: 91) Reloj 34.16109 | Clientes en cola: 1
(E: 0,C: 92) Reloj 2.17566 | Clientes en cola: 1
(E: 0,C: 92) Reloj 10.39104 | Clientes en cola: 2
(E: 0,C: 93) Reloj 16.38263 | Clientes en cola: 1
(E: 0,C: 94) Reloj 7.60520 | Clientes en cola: 1
(E: 0,C: 94) Reloj 14.79372 | Clientes en cola: 2
(E: 0,C: 95) Reloj 19.98642 | Clientes en cola: 1
(E: 0,C: 96) Reloj 9.93933 | Clientes en cola: 1
(E: 0,C: 96) Reloj 12.77630 | Clientes en cola: 2
(E: 0,C: 97) Reloj 30.36799 | Clientes en cola: 1
(E: 0,C: 98) Reloj 2.97682 | Clientes en cola: 1
(E: 0,C: 98) Reloj 20.20337 | Clientes en cola: 2
(E: 0,C: 99) Reloj 18.72026 | Clientes en cola: 1
(E: 1,C: 0) Reloj 1.35361 | Clientes en cola: 1
(E: 1,C: 0) Reloj 3.84565 | Clientes en cola: 2
(E: 1,C: 0) Reloj 8.41447 | Clientes en cola: 4
(E: 1,C: 0) Reloj 16.72052 | Clientes en cola: 7
(E: 1,C: 1) Reloj 16.20118 | Clientes en cola: 1
(E: 1,C: 2) Reloj 77.41339 | Clientes en cola: 1
(E: 1,C: 3) Reloj 55.16137 | Clientes en cola: 1
(E: 1,C: 4) Reloj 17.42624 | Clientes en cola: 1
(E: 1,C: 5) Reloj 11.58143 | Clientes en cola: 1
(E: 1,C: 5) Reloj 12.90425 | Clientes en cola: 2
(E: 1,C: 6) Reloj 6.33728 | Clientes en cola: 1
(E: 1,C: 6) Reloj 9.35555 | Clientes en cola: 2
(E: 1,C: 7) Reloj 39.59189 | Clientes en cola: 1
(E: 1,C: 8) Reloj 11.74462 | Clientes en cola: 1
