(E: 0,C: 89) Reloj 3.26541 | Clientes en cola: 1
(E: 0,C: 90) Reloj 29.46033 | Clientes en cola: 1
(E: 0,C: 91) Reloj 13.33149 | Clientes en cola: 1
(E: 0,C: 91) Reloj 18.53003 | Clientes en cola: 2
(E: 0,C: 92) Reloj 9.43625 | Clientes en cola: 1
(E: 0,C: 92) Reloj 10.57361 | Clientes en cola: 2
(E: 0,C: 93) Reloj 24.06907 | Clientes en cola: 1
(E: 0,C: 94) Reloj 7.03442 | Clientes en cola: 1
(E: 0,C: 94) Reloj 14.11966 | Clientes en cola: 2
(E: 0,C: 95) Reloj 3.33447 | Clientes en cola: 1
(E: 0,C: 95) Reloj 4.23858 | Clientes en cola: 2
(E: 0,C: 95) Reloj 10.83970 | Clientes en cola: 4
(E: 0,C: 95) Reloj 12.48982 | Clientes en cola: 6
(E: 0,C: 95) Reloj 13.04042 | Clientes en cola: 8
(E: 0,C: 95) Reloj 14.14366 | Clientes en cola: 10
(E: 0,C: 95) Reloj 15.90367 | Clientes en cola: 12
(E: 0,C: 96) Reloj 16.56411 | Clientes en cola: 1
(E: 0,C: 97) Reloj 6.21026 | Clientes en cola: 1
(E: 0,C: 97) Reloj 10.62878 | Clientes en cola: 2
(E: 0,C: 98) Reloj 56.38929 | Clientes en cola: 1
(E: 0,C: 99) Reloj 24.57958 | Clientes en cola: 1
(E: 1,C: 0) Reloj 4.11667 | Clientes en cola: 1
(E: 1,C: 1) Reloj 27.05531 | Clientes en cola: 1
(E: 1,C: 2) Reloj 15.53226 | Clientes en cola: 1
(E: 1,C: 3) Reloj 9.16910 | Clientes en cola: 1
(E: 1,C: 3) Reloj 15.52821 | Clientes en cola: 2
(E: 1,C: 4) Reloj 16.30934 | Clientes en cola: 1
(E: 1,C: 5) Reloj 6.32396 | Clientes en cola: 1
(E: 1,C: 5) Reloj 6.53012 | Clientes en cola: 2
(E: 1,C: 6) Reloj 9.26475 | Clientes en cola: 1
(E: 1,C: 6) Reloj 12.74281 | Clientes en cola: 2
(E: 1,C: 7) Reloj 23.22239 | Clientes en cola: 1
(E: 1,C: 8) Reloj 5.81036 | Clientes en cola: 1
(E: 1,C: 8) Reloj 14.61527 | Clientes en cola: 2
(E: 1,C: 9) Reloj 40.52268 | Clientes en cola: 1
(E: 1,C: 10) Reloj 12.15606 | Clientes en cola: 1
(E: 1,C: 10) Reloj 12.63344 | Clientes en cola: 2
(E: 1,C: 11) Reloj 2.58491 | Clientes en cola: 1
(E: 1,C: 11) Reloj 5.59627 | Clientes en cola: 2
(E: 1,C: 12) Reloj 31.34222 | Clientes en cola: 1
(E: 1,C: 13) Reloj 18.84243 | Clientes en cola: 1
(E: 1,C: 14) Reloj 6.55129 | Clientes en cola: 1
(E: 1,C: 14) Reloj 19.99756 | Clientes en cola: 2
(E: 1,C: 15) Reloj 11.92349 | Clientes en cola: 1
(E: 1,C: 16) Reloj 41.29866 | Clientes en cola: 1
(E: 1,C: 17) Reloj 26.71386 | Clientes en cola: 1
(E: 1,C: 18) Reloj 5.32823 | Clientes en cola: 1
(E: 1,C: 18) Reloj 9.00904 | Clientes en cola: 2
(E: 1,C: 18) Reloj 18.85531 | Clientes en cola: 4
(E: 1,C: 19) Reloj 44.34001 | Clientes en cola: 1
(E: 1,C: 20) Reloj 8.32571 | Clientes en cola: 1
(E: 1,C: 20) Reloj 13.13951 | Clientes en cola: 2
(E: 1,C: 21) Reloj 9.70498 | Clientes en cola: 1
(E: 1,C: 21) Reloj 17.00414 | Clientes en cola: 2
(E: 1,C: 22) Reloj 19.96647 | Clientes en cola: 1
(E: 1,C: 23) Reloj 4.05923 | Clientes en cola: 1
(E: 1,C: 23) Reloj 10.23180 | Clientes en cola: 2
(E: 1,C: 24) Reloj 28.46853 | Clientes en cola: 1
(E: 1,C: 25) Reloj 0.68051 | Clientes en cola: 1
(E: 1,C: 26) Reloj 26.30820 | Clientes en cola: 1
(E: 1,C: 27) Reloj 13.10455 | Clientes en cola: 1
(E: 1,C: 27) Reloj 24.06114 | Clientes en cola: 2
(E: 1,C: 28) Reloj 3.94120 | Clientes en cola: 1
(E: 1,C: 29) Reloj 1.84564 | Clientes en cola: 1
(E: 1,C: 30) Reloj 2.02769 | Clientes en cola: 1
